"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,-0.341902608814863,0.0975281880042343,0.512261380251439,-0.000336231106597134,0.000318305208867326,-0.000139698402476045,-0.396147022076338,-0.000644278389311217,-0.332792988834271
-0.000125129388232078,1,-0.28505360151038,-0.000714824882458346,-0.000539364055237714,-0.000267294366492195,-0.000884554768485027,0.210105057535521,-0.000336781214678001,-1.81816088675507e-05
0.000123254024569996,0.000290211246427535,1,-0.000237007296480437,-0.000181219380601304,-0.000691161918834813,9.95471913750808e-05,1.70377350481493e-06,-0.000947783717794975,0.000198445801315459
-0.00117811346850271,0.000352498934478672,-0.000384358008828937,1,-3.57319609514879e-05,-0.000368265582508759,0.000350333531780804,0.000604424729288666,-0.000645399131869738,0.000133697522350254
4.85482262808351e-05,-0.000358496419855055,0.000478491219981964,0.000232039172357799,1,0.383114948117712,0.364758906977168,-1.45524317802855e-05,0.00044175164241583,-0.200692853866944
-0.000332252383203675,-0.00026024840926821,0.000368191776770626,0.000158905013762933,-0.00134878335973259,1,-0.000306363815269495,-5.18421713525441e-06,-0.000511075530499622,0.00060607901617494
-0.000142806049474201,0.000343718189234523,-6.85927982267515e-05,5.59208551701955e-05,-0.000432020069095491,-3.76198548878327e-06,1,-0.000152285482945443,-0.000106998409034293,0.000659833621260807
0.000860322609326241,-0.000922676990187057,0.000249335046310793,0.000333143876442889,-0.000244517595737231,-7.16583461649624e-05,0.000162939583615188,1,-0.000293219631170293,-0.000357307414151
0.000475079635749134,-6.76071261980566e-05,0.000151094143407713,0.000758666997166694,0.000467568409242582,0.000495254363262107,1.55616094073248e-05,-0.000204711274647759,1,-0.000384720194553547
0.000594998366830083,6.04359691480062e-05,-0.00029316332373341,0.000534391751478946,0.000222314285248916,0.000186979941297175,0.000397886961586408,0.000158866717288761,-0.000237790461924692,1
